Source,Target,Type
209,610,Undirected
209,1226,Undirected
209,1540,Undirected
209,1868,Undirected
209,2116,Undirected
216,610,Undirected
216,1226,Undirected
216,1540,Undirected
216,1868,Undirected
216,2116,Undirected
610,1226,Undirected
610,1540,Undirected
610,1868,Undirected
610,2116,Undirected
1226,1540,Undirected
1226,1868,Undirected
1226,2116,Undirected
1540,1868,Undirected
1540,2116,Undirected
1868,2116,Undirected
377,654,Undirected
377,1392,Undirected
654,1392,Undirected
30,342,Undirected
30,738,Undirected
30,780,Undirected
30,1181,Undirected
342,738,Undirected
342,780,Undirected
342,1181,Undirected
738,780,Undirected
738,1181,Undirected
780,1181,Undirected
985,1577,Undirected
985,1623,Undirected
1577,1623,Undirected
1018,1194,Undirected
1018,1468,Undirected
1018,1720,Undirected
1194,1468,Undirected
1194,1720,Undirected
1468,1720,Undirected
629,1133,Undirected
629,2087,Undirected
1133,2087,Undirected
310,1190,Undirected
1121,1743,Undirected
272,2143,Undirected
272,2173,Undirected
2143,2173,Undirected
1135,1137,Undirected
1243,1821,Undirected
1359,2006,Undirected
1706,1707,Undirected
1706,1708,Undirected
1707,1708,Undirected
628,780,Undirected
628,1265,Undirected
780,1265,Undirected
607,1996,Undirected
607,1997,Undirected
1996,1997,Undirected
1655,1820,Undirected
1655,2271,Undirected
1820,2271,Undirected
1128,1499,Undirected
1128,1924,Undirected
1499,1924,Undirected
1979,1980,Undirected
145,1448,Undirected
126,1290,Undirected
126,2021,Undirected
1290,2021,Undirected
1448,1449,Undirected
160,493,Undirected
160,844,Undirected
493,844,Undirected
1226,1868,Undirected
1687,2129,Undirected
692,1652,Undirected
310,1221,Undirected
485,776,Undirected
485,1298,Undirected
485,1633,Undirected
485,1798,Undirected
485,1898,Undirected
776,1298,Undirected
776,1633,Undirected
776,1798,Undirected
776,1898,Undirected
1298,1633,Undirected
1298,1798,Undirected
1298,1898,Undirected
1633,1798,Undirected
1633,1898,Undirected
1798,1898,Undirected
794,1198,Undirected
794,1243,Undirected
1198,1243,Undirected
1532,1834,Undirected
84,416,Undirected
84,949,Undirected
416,949,Undirected
685,2192,Undirected
352,365,Undirected
352,370,Undirected
365,370,Undirected
237,1007,Undirected
669,1384,Undirected
20,162,Undirected
20,317,Undirected
20,673,Undirected
20,2130,Undirected
162,317,Undirected
162,673,Undirected
162,2130,Undirected
317,673,Undirected
317,2130,Undirected
673,2130,Undirected
80,1913,Undirected
80,1914,Undirected
80,1915,Undirected
80,1916,Undirected
1913,1914,Undirected
1913,1915,Undirected
1913,1916,Undirected
1914,1915,Undirected
1914,1916,Undirected
1915,1916,Undirected
1231,1445,Undirected
1231,1838,Undirected
1445,1838,Undirected
1307,1656,Undirected
38,373,Undirected
38,544,Undirected
38,1226,Undirected
38,1363,Undirected
38,1868,Undirected
373,544,Undirected
373,1226,Undirected
373,1363,Undirected
373,1868,Undirected
544,1226,Undirected
544,1363,Undirected
